JBE Spins:
Django Django|KYSL|Frisco, CO|Spirals|14
Middle Kids|WOCM|Ocean City, MD|R U 4 Me?|16
Middle Kids|WBJB|Lincroft NJ|R U 4 Me?|9
Nilufer Yanya|WBJB|Lincroft NJ|Crash|4
Arlo Parks|KCLC|St. Charles, MO|Hurt|10
Arlo Parks|WBJB|Lincroft NJ|Hurt|5
SubModern Spins: 
Jorge Elbrecht|WNRN|RUN|1
Sun June|KUTX|SINGING|1
Middle Kids|WEQX|QUESTIONS|2
Middle Kids|KACV|QUESTIONS|1
Middle Kids|KDTR|QUESTIONS|1
Middle Kids|KFCF|QUESTIONS|1
Middle Kids|KTCL|QUESTIONS|1
Middle Kids|Passport Approved|RU4ME|1
Middle Kids|WAQX|QUESTIONS|1
Middle Kids|WCSF|QUESTIONS|1
Middle Kids|WDET|QUESTIONS|1
Middle Kids|WFUV|QUESTIONS|1
Middle Kids|WLUM|QUESTIONS|1
Middle Kids|WPNH|QUESTIONS|1
Middle Kids|WQRR|QUESTIONS|1
Middle Kids|WRFF|QUESTIONS|1
Middle Kids|WUNH|RU4ME|1
Middle Kids|WVMO|QUESTIONS|1
Middle Kids|WWJK|QUESTIONS|1
Middle Kids|WXRT|QUESTIONS|1
Cabaret Voltaire|WPNH|BE|1
Pearl Charles|KFCF|ONLY-FOR|1
Pearl Charles|KOSU|ONLY-FOR|1
Pearl Charles|KXRN|ONLY-FOR|1
Pearl Charles|WCOO|IMPOSTER|1
Pearl Charles|WNRN|IMPOSTER|1
Pearl Charles|WPNH|ONLY-FOR|1
Slaughter Beach, Dog|KCMP|ARE|1
Slaughter Beach, Dog|KFCF|ARE|1
Slaughter Beach, Dog|KPNT|ARE|1
Slaughter Beach, Dog|KUTX|ARE|1
Slaughter Beach, Dog|WNRN|ARE|1
Slaughter Beach, Dog|WWJK|ARE|1
Another Michael|KDTR|KNOW|1
Dameer|KDTR|AMAR|1
Dameer|KJEE|AMAR|1
Dameer|WCSF|AMAR|1
Dameer|WUNH|BELIEVE|1
Django Django|WEQX|FREE|2
Django Django|KFCF|GLOWING|1
Django Django|KJEE|FREE|1
Django Django|KOSU|GLOWING|1
Django Django|KROX|GLOWING|1
Django Django|KXRN|FREE|1
Django Django|WCSF|FREE|1
Django Django|WQKL|FREE|1
Django Django|WRUV|GLOWING|1
Django Django|WVMO|FREE|1
Django Django|WWJK|GLOWING|1
Django Django|WXRT|GLOWING|1
Django Django|XTRA|FREE|1
Nilufer Yanya|WEQX|SAME|2
Molly Burch|KFCF|EMOTION|1
Molly Burch|WBJB|EMOTION|1
Molly Burch|WNRN|EMOTION|1
Molly Burch|WRUV|EMOTION|1
Arlo Parks|KCMP|BLACK|1
Arlo Parks|WEQX|CAROLINE|1
Arlo Parks|WPYA|CAROLINE|1
Arlo Parks|WRFF|HURT|1
Arlo Parks|WRUV|HURT|1
Katy Kirby|XMU|JUNIPER|1
